"to","from","source_id_lab","target_id_lab","weight","weight_recs","weight_tfidf"
16,23,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:-cells-ins-",1,1,0.0000641979894803118
16,24,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:activated-cd4-t",1,1,0.0000641979894803118
16,25,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:activated-cd8-t",1,1,0.000834573863244053
16,26,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:activated-t",1,1,0.0123902119697002
16,27,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:adult-glia",1,1,0.00449385926362183
16,28,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:angiogenic-pericyte",1,1,0.000320989947401559
16,29,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:arterial-capillary",1,1,0.00693338286387367
16,30,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:best2-goblet-cell",1,1,0.000385187936881871
16,31,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:best4-epithelial",1,1,0.00821734265347991
16,32,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:branch-a1-imn-",1,1,0.000192593968440935
16,33,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:branch-a2-ipan-in-",1,1,0.00121976180012592
16,34,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:branch-a3-ipan-in-",1,1,0.000385187936881871
16,35,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:branch-a4-in-",1,1,0.000770375873763741
16,36,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:branch-b1-emn-",1,1,0.00879512455880271
16,37,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:branch-b2-emn-",1,1,0.000128395978960624
16,38,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:branch-b3-ipan-",1,1,0.000513583915842494
16,39,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:cd8-tmem",1,1,0.000577781905322806
16,40,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:cdc1",1,1,0.000128395978960624
16,41,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:cdc2",1,1,0.000192593968440935
16,42,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:clc-mast-cell",1,1,0.000192593968440935
16,43,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:cldn10-cells",1,1,0.000320989947401559
16,44,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:clp",1,1,0.000770375873763742
16,45,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:colonocyte",1,1,0.0000641979894803118
16,46,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:contractile-pericyte-pln-",1,1,0.00622720497959024
16,48,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:cycling-b-cell",1,1,0.00301730550557465
16,49,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:cycling-ec",1,1,0.00231112762129123
16,50,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:cycling-encc-glia",1,1,0.000192593968440935
16,51,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:cycling-neuroblast",1,1,0.000128395978960624
16,52,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:cycling-plasma-cell",1,1,0.00828154064296022
16,54,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:d-cells-sst-",1,1,0.00449385926362183
16,55,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:differentiating-glia",1,1,0.0000641979894803118
16,56,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:distal-progenitor",1,1,0.000449385926362183
16,57,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:dz-gc-cell",1,1,0.000770375873763741
16,58,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:ec-cells-npw-",1,1,0.000256791957921247
16,59,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:ec-cells-tac1-",1,1,0.00186174169492904
16,60,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:eecs",1,1,0.0241384440445972
16,61,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:encc-glia-progenitor",1,1,0.0000641979894803118
16,62,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:enterocyte",1,1,0.261829208502119
16,63,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:fcrl4-memory-b",1,1,0.000513583915842494
16,64,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:fdc",1,1,0.000320989947401559
16,65,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:fetal-arterial-ec",1,1,0.000192593968440935
16,66,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:fetal-venous-ec",1,1,0.000385187936881871
16,67,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:gc-b-cell",1,1,0.000192593968440935
16,69,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:germ",1,1,0.0000641979894803118
16,70,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:glia-1-dhh-",1,1,0.000256791957921247
16,71,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:glia-2-eln-",1,1,0.000898771852724366
16,72,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:glia-3-bcan-",1,1,0.0021827316423306
16,73,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:goblet-cell",1,1,0.0263853736764081
16,74,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:i-cells-cck-",1,1,0.00398027534777933
16,75,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:icc",1,1,0.00477427870631669
16,76,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:iga-plasma-cell",1,1,0.000385187936881871
16,77,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:igg-plasma-cell",1,1,0.000770375873763741
16,79,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:ilc2",1,1,0.0000641979894803118
16,80,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:ilc3",1,1,0.000192593968440935
16,81,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:ilcp",1,1,0.000513583915842494
16,82,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:immature-b",1,1,0.000128395978960624
16,83,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:immature-pericyte",1,1,0.00160494973700779
16,84,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:k-cells-gip-",1,1,0.00134815777908655
16,85,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:l-cells-pyy-",1,1,0.000898771852724365
16,86,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:lec1-ackr4-",1,1,0.000898771852724365
16,87,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:lec2-madcam1-",1,1,0.000128395978960624
16,88,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:lec3-adgrg3-",1,1,0.00070617788428343
16,89,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:lec4-stab2-",1,1,0.00353088942141715
16,90,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:lec5-cldn11-",1,1,0.000128395978960624
16,91,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:lec6-adamts4-",1,1,0.00121976180012592
16,92,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:lti-like-ncr-ilc3",1,1,0.00112963889287691
16,93,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:lymphoid-dc",1,1,0.000577781905322806
16,94,"FMA:14926 Superior part of Duodenum","ASCTB-TEMP:lyve1-macrophage",1,1,0.00211853365285029
