anatomical_structure,cell_types
http://purl.obolibrary.org/obo/UBERON_0002097,14
http://purl.org/sig/ont/fma/fma73165,6
http://purl.org/sig/ont/fma/fma7385,6
http://purl.org/sig/ont/fma/fma7386,6
http://purl.obolibrary.org/obo/UBERON_0002078,34
http://purl.obolibrary.org/obo/UBERON_8410026,7
http://purl.obolibrary.org/obo/UBERON_8410027,7
http://purl.obolibrary.org/obo/UBERON_0002015,50
http://purl.obolibrary.org/obo/UBERON_0002189,52
http://purl.obolibrary.org/obo/UBERON_0004200,51
http://purl.obolibrary.org/obo/UBERON_0001284,50
http://purl.obolibrary.org/obo/UBERON_0008716,44
http://purl.obolibrary.org/obo/UBERON_0001223,38
http://purl.obolibrary.org/obo/UBERON_0001228,27
http://purl.org/sig/ont/fma/fma7361,64
http://purl.org/sig/ont/fma/fma7360,64
http://purl.obolibrary.org/obo/UBERON_0002084,47
http://purl.obolibrary.org/obo/UBERON_0002080,47
http://purl.obolibrary.org/obo/UBERON_0002094,47
http://purl.org/sig/ont/fma/fma14929,25
http://purl.org/sig/ont/fma/fma14930,25
http://purl.obolibrary.org/obo/UBERON_0001158,25
http://purl.org/sig/ont/fma/fma14966,25
http://purl.obolibrary.org/obo/UBERON_0001156,25
http://purl.obolibrary.org/obo/UBERON_0002115,25
http://purl.obolibrary.org/obo/UBERON_0001157,25
http://purl.obolibrary.org/obo/UBERON_0001159,25
http://purl.obolibrary.org/obo/UBERON_0001052,25
http://purl.org/sig/ont/fma/fma14928,25
http://purl.obolibrary.org/obo/UBERON_0002116,25
http://purl.obolibrary.org/obo/UBERON_0001153,25
http://purl.org/sig/ont/fma/fma14926,25
http://purl.org/sig/ont/fma/fma7402,28
http://purl.org/sig/ont/fma/fma62649,28
http://purl.obolibrary.org/obo/UBERON_0002771,18
http://purl.obolibrary.org/obo/UBERON_0002079,27
http://purl.obolibrary.org/obo/UBERON_0002137,27
http://purl.org/sig/ont/fma/fma7267,27
