,as_label,uberon_id,sex,ref_organ
0,Spatial entity of female abdominal ostium of uterine tube,FMA:77049,Female,https://purl.humanatlas.io/ref-organ/uterus-female/v1.2#primary
1,Spatial entity of female anterior wall of uterus,FMA:224876,Female,https://purl.humanatlas.io/ref-organ/uterus-female/v1.2#primary
2,Spatial entity of female body of uterus,UBERON:0009853,Female,https://purl.humanatlas.io/ref-organ/uterus-female/v1.2#primary
3,Spatial entity of female cervix,UBERON:0000002,Female,https://purl.humanatlas.io/ref-organ/uterus-female/v1.2#primary
4,Spatial entity of female external cervical os,UBERON:0013760,Female,https://purl.humanatlas.io/ref-organ/uterus-female/v1.2#primary
5,Spatial entity of female fundus of uterus,FMA:17561,Female,https://purl.humanatlas.io/ref-organ/uterus-female/v1.2#primary
6,Spatial entity of female internal cervical os,UBERON:0013759,Female,https://purl.humanatlas.io/ref-organ/uterus-female/v1.2#primary
7,Spatial entity of female lower uterine segment,FMA:17752,Female,https://purl.humanatlas.io/ref-organ/uterus-female/v1.2#primary
8,Spatial entity of female posterior wall of uterus,FMA:224878,Female,https://purl.humanatlas.io/ref-organ/uterus-female/v1.2#primary
9,Spatial entity of female fundus of urinary bladder base,UBERON:0006082,Female,https://purl.humanatlas.io/ref-organ/urinary-bladder-female/v1.2#primary
10,Spatial entity of female fundus of urinary bladder dome,UBERON:0006082,Female,https://purl.humanatlas.io/ref-organ/urinary-bladder-female/v1.2#primary
11,Spatial entity of female trigone of urinary bladder,UBERON:0001257,Female,https://purl.humanatlas.io/ref-organ/urinary-bladder-female/v1.2#primary
12,Spatial entity of female ureteral orifice,FMA:15940,Female,https://purl.humanatlas.io/ref-organ/urinary-bladder-female/v1.2#primary
13,Spatial entity of female ureteral orifice,FMA:15939,Female,https://purl.humanatlas.io/ref-organ/urinary-bladder-female/v1.2#primary
14,Spatial entity of female urinary bladder neck smooth muscle,UBERON:0004230,Female,https://purl.humanatlas.io/ref-organ/urinary-bladder-female/v1.2#primary
15,Spatial entity of male posterior parahippocampal gyrus R,UBERON:0002657,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
16,Spatial entity of male precuneus L,UBERON:0006093,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
17,Spatial entity of male precuneus R,UBERON:0006093,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
18,Spatial entity of male primary motor cortex L,UBERON:0002703,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
19,Spatial entity of male primary motor cortex R,UBERON:0002703,Male,https://purl.humanatlas.io/ref-organ/brain-male/v1.4#primary
