organ,SmallIntestine - jejunum,Colon - descending colon,SmallIntestine - superior part of duodenum,SmallIntestine - descending part of duodenum,SmallIntestine - ascending part of duodenum,SmallIntestine - horizontal part of duodenum,Colon - sigmoid colon,SmallIntestine - distal part of ileum,SmallIntestine - ileum,RightKidneyV1.1 - renal pyramid,RightKidneyV1.1 - outer cortex of kidney,Spleen - diaphragmatic surface of spleen,Spleen - hilum of spleen,Heart - heart right ventricle,Heart - interventricular septum,Heart - heart left ventricle,Colon - rectum,Colon - ascending colon,Colon - transverse colon,RightKidney - outer cortex of kidney,RightKidney - renal pyramid,RightKidneyV1.1 - renal column,LeftKidney - renal pyramid,LeftKidney - renal papilla,UrinaryBladder - fundus of urinary bladder,Skin - skin of body,Lung - Right Medial Bronchopulmonary Segment,Lung - Right Lateral Bronchopulmonary Segment,LeftUreter - left ureter,LeftKidneyV1.1 - hilum of kidney,LeftKidneyV1.1 - renal column,LeftKidneyV1.1 - renal pyramid,LeftKidney - renal column,LeftKidney - outer cortex of kidney,LeftKidneyV1.1 - kidney capsule,LeftKidneyV1.1 - outer cortex of kidney,RightKidney - kidney capsule,LargeIntestine - caecum,LargeIntestine - ascending colon,LargeIntestine - descending colon,LargeIntestine - sigmoid colon,LargeIntestine - transverse colon,RightKidney - renal papilla,LeftKidney - hilum of kidney,LeftKidney - kidney capsule,HeartV1.1 - heart left ventricle,Liver - gastric impression of liver,Liver - diaphragmatic surface of liver,Liver - capsule of the liver,HeartV1.1 - left cardiac atrium,Heart - left cardiac atrium,Heart - right cardiac atrium,HeartV1.1 - right cardiac atrium,Heart - Posteromedial head of posterior papillary muscle of left ventricle,Lung - Lateral segmental bronchus,LungV1.1 - Lateral segmental bronchus,LungV1.1 - Right Medial Bronchopulmonary Segment,LungV1.1 - Right Lateral Bronchopulmonary Segment,Lung - Left apical bronchopulmonary segment,Prostate - central zone of prostate,Prostate - peripheral zone of prostate,SkinV1.1 - skin of body,RightMammaryGland - Interlobar adipose tissue of right mammary gland
VHFSmallIntestine,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
VHFColon,0.0,0.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
VHFSmallIntestine,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
VHFSmallIntestine,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
VHFSmallIntestine,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
VHFSmallIntestine,0.0,0.0,0.0,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
VHFColon,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
VHFSmallIntestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
VHFSmallIntestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
VHFRightKidneyV1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
