,tissue_block,organ,is_best_fit_in_mesh_collisions,difference_between_best_and_second_best,number_of_mesh_collisions,number_of_bb_collisions,best_fit,second_best_fit,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/UBERON_0008716,http://purl.obolibrary.org/obo/UBERON_0001223,http://purl.obolibrary.org/obo/UBERON_0001228,http://purl.obolibrary.org/obo/UBERON_0002097,http://purl.org/sig/ont/fma/fma7361,http://purl.org/sig/ont/fma/fma7360,http://purl.obolibrary.org/obo/UBERON_0002084,http://purl.obolibrary.org/obo/UBERON_0002080,http://purl.obolibrary.org/obo/UBERON_0002094,http://purl.org/sig/ont/fma/fma14930,http://purl.org/sig/ont/fma/fma14929,http://purl.obolibrary.org/obo/UBERON_0001158,http://purl.org/sig/ont/fma/fma14966,http://purl.obolibrary.org/obo/UBERON_0001156,http://purl.obolibrary.org/obo/UBERON_0002115,http://purl.obolibrary.org/obo/UBERON_0001157,http://purl.obolibrary.org/obo/UBERON_0001052,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.org/sig/ont/fma/fma14928,http://purl.obolibrary.org/obo/UBERON_0002116,http://purl.obolibrary.org/obo/UBERON_0001153,http://purl.org/sig/ont/fma/fma14926,http://purl.obolibrary.org/obo/UBERON_0002771,http://purl.obolibrary.org/obo/UBERON_0002137,http://purl.obolibrary.org/obo/UBERON_0002079,http://purl.org/sig/ont/fma/fma7267,http://purl.obolibrary.org/obo/UBERON_0002078,http://purl.org/sig/ont/fma/fma62649,http://purl.org/sig/ont/fma/fma7402
0,https://entity.api.hubmapconsortium.org/entities/cc5da33c5239011f75c06918dad38914,LeftKidney,TRUE,0.515622965,2,10,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/UBERON_0002189,0.473501538,0.989124503,0.521157607,0.789483634,0.732872886,no comparison possible,0.878602595,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible
1,https://entity.api.hubmapconsortium.org/entities/539d08c341db65d371ae0687bb314bb3,LeftKidney,TRUE,0.136313303,4,10,http://purl.obolibrary.org/obo/UBERON_0008716,http://purl.obolibrary.org/obo/UBERON_0001284,0.567409896,0.757823593,0.550795532,0.863686697,1,no comparison possible,0.726479197,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible
2,https://entity.api.hubmapconsortium.org/entities/c4200fa2bd88eca844b722075153da94,LeftKidney,FALSE,0.091059304,0,4,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/UBERON_0002015,0.421867372,0.78865959,0.473595389,0.879718894,0.641469288,no comparison possible,0.862970502,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible
3,https://entity.api.hubmapconsortium.org/entities/b114506555e5aeb25ee9defd6b79ff08,LeftUreter,TRUE,0.909107824,1,1,http://purl.obolibrary.org/obo/UBERON_0001223,,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,0.909107824,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible
4,https://entity.api.hubmapconsortium.org/entities/681f7f1d0a87427cf182f231a01ca6f0,LeftUreter,FALSE,0.979821942,0,1,http://purl.obolibrary.org/obo/UBERON_0001223,,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,0.979821942,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible
5,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,RightKidney,TRUE,0.90665936,1,6,http://purl.obolibrary.org/obo/UBERON_0002189,,0.90665936,0.359683779,0.457741732,0.4446831,0.395720206,no comparison possible,0.255060687,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible
6,https://entity.api.hubmapconsortium.org/entities/2c523a98b87af1d9c7c7499b3817822f,RightKidney,FALSE,0.184552462,1,3,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/UBERON_0002015,0.62020259,0.689827204,0.575287911,0.874379665,0.867866412,no comparison possible,0.839365658,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible
7,https://entity.api.hubmapconsortium.org/entities/98ae4752fe00ceefce6963ca42e71761,LeftUreter,FALSE,0.918747659,0,1,http://purl.obolibrary.org/obo/UBERON_0001223,,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,0.918747659,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible
8,https://entity.api.hubmapconsortium.org/entities/a5a5a3bff1df2a6c378d85316161bd5b,RightKidney,FALSE,0.126788611,1,10,http://purl.obolibrary.org/obo/UBERON_0008716,http://purl.obolibrary.org/obo/UBERON_0001284,0.279715545,0.444401419,0.322221206,0.62997419,0.756762801,no comparison possible,0.325292334,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible
9,https://entity.api.hubmapconsortium.org/entities/744f20be06ec72b749601754fb881955,LeftUreter,FALSE,0.938448843,0,1,http://purl.obolibrary.org/obo/UBERON_0001223,,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,0.938448843,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible,no comparison possible
