tool,Organ_Level,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match
azimuth,Heart_L2,UBERON:0000948,Adipocyte,AZ:0000001,adipocyte,CL:0000136,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Arterial Endothelial,AZ:0000002,endothelial cell of artery,CL:1000413,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Atrial Cardiomyocyte,AZ:0000003,regular atrial cardiac myocyte,CL:0002129,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,B,AZ:0000004,B cell,CL:0000236,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Capillary Endothelial,AZ:0000005,capillary endothelial cell,CL:0002144,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Endocardial,AZ:0000006,endocardial cell,CL:0002350,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Endothelial,AZ:0000007,endothelial cell,CL:0000115,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Fibroblast,AZ:0000008,fibroblast,CL:0000057,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,ILC,AZ:0000009,innate lymphoid cell,CL:0001065,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Lymphatic Endothelial,AZ:0000010,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Macrophage,AZ:0000011,macrophage,CL:0000235,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Mast,AZ:0000012,mast cell,CL:0000097,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Mesothelial,AZ:0000013,mesothelial cell,CL:0000077,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Monocyte/cDC,AZ:0000014,monocyte-derived dendritic cell,CL:0011031,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Neuronal,AZ:0000015,Schwann cell,CL:0002573,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,NK,AZ:0000016,natural killer cell,CL:0000623,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Pericyte,AZ:0000017,pericyte,CL:0000669,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Smooth Muscle,AZ:0000018,smooth muscle cell,CL:0000192,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,T,AZ:0000019,T cell,CL:0000084,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Venous Endothelial,AZ:0000020,endothelial cell of venule,CL:1000414,skos:exactMatch
azimuth,Heart_L2,UBERON:0000948,Ventricular Cardiomycoyte,AZ:0000021,regular ventricular cardiac myocyte,CL:0002131,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Afferent / Efferent Arteriole Endothelial,AZ:0000022,endothelial cell of arteriole:afferent/efferent,CL:1000412,skos:narrowMatch
azimuth,Kidney_L3,UBERON:0002113,Ascending Thin Limb,AZ:0000023,kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Ascending Vasa Recta Endothelial,AZ:0000024,vasa recta ascending limb cell,CL:1001131,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,B,AZ:0000025,B cell,CL:0000236,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Classical Dendritic,AZ:0000026,conventional dendritic cell,CL:0000990,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Connecting Tubule,AZ:0000027,kidney connecting tubule epithelial cell,CL:1000768,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Connecting Tubule Intercalated Type A,AZ:0000028,kidney connecting tubule alpha-intercalated cell,CL:4030020,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Connecting Tubule Principal,AZ:0000029,kidney connecting tubule principal cell,CL:4030018,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Cortical Collecting Duct Intercalated Type A,AZ:0000030,kidney cortex collecting duct intercalated cell,CL:1000715,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Cortical Collecting Duct Principal,AZ:0000031,kidney cortex collecting duct principal cell,CL:1000714,skos:exactMatch
azimuth,Kidney_L3,UBERON:0002113,Cortical Thick Ascending Limb,AZ:0000032,kidney loop of Henle cortical thick ascending limb epithelial cell,CL:1001109,skos:exactMatch
