,organ,as,as_label,sex,tool,modality,cell_id,cell_label,cell_count,cell_percentage,dataset_count,level_1_cell_id,level_1_cell_label
2068,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030022,Medullary Fibroblast,1832.421,0.2747839160578047,2,http://purl.obolibrary.org/obo/CL_0000057,fibroblast
2070,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000718,Inner Medullary Collecting Duct,1146.533,0.1719303738766926,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2072,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000692,Fibroblast,876.037,0.1313676701323173,2,http://purl.obolibrary.org/obo/CL_0000057,fibroblast
2074,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000597,Papillary Tip Epithelial,749.843,0.1124440267648823,2,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
2076,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000768,Connecting Tubule,315.994,0.04738543640941134,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2078,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000716,Outer Medullary Collecting Duct Principal,281.6660000000001,0.0422377207532208,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2080,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030009,Proximal Tubule Epithelial Segment 1,241.076,0.036150975866109,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2082,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000890,M2 Macrophage,185.559,0.02782582642295093,2,http://purl.obolibrary.org/obo/CL_0000235,macrophage
2084,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001107,Ascending Thin Limb,110.352,0.01654802837601777,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2086,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000084,T,103.287,0.01548858386684199,2,http://purl.obolibrary.org/obo/CL_0000084,T cell
2088,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030012,Descending Thin Limb Type 1,101.937,0.01528614224088484,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2090,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030018,Connecting Tubule Principal,81.912,0.01228325812252037,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2092,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030013,Descending Thin Limb Type 2,66.836,0.01002251000923883,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2094,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001108,Medullary Thick Ascending Limb,64.328,0.00964641845523843,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2096,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial,Peritubular Capilary Endothelial ,64.057,0.00960578017328703,2,Unknown Cell,Unknown Cell
2098,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000097,Mast,57.24900000000001,0.008584874551423096,2,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
2100,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030016,Distal Convoluted Tubule Type 1,52.514,0.007874829292973368,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2102,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial,Descending Vasa Recta Endothelial ,52.322,0.007846037595059464,2,Unknown Cell,Unknown Cell
2104,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001318,Cortical Vascular Smooth Muscle / Pericyte,48.76900000000001,0.007313241226892224,2,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
2106,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000714,Cortical Collecting Duct Principal,25.965,0.003893627272575952,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2108,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000786,Plasma,24.786,0.003716828252573369,2,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
2110,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000990,Classical Dendritic,22.243,0.003335488211974077,2,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
2112,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000452,Parietal Epithelial,20.218,0.003031825773038344,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2114,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000715,Cortical Collecting Duct Intercalated Type A,18.392,0.002758004729336295,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2116,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000236,B,16.629,0.002493630961512247,2,http://purl.obolibrary.org/obo/CL_0000236,B cell
2118,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000650,Mesangial,16.599,0.0024891322587132,2,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
2120,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002138,Lymphatic Endothelial,16.052,0.00240710591101056,2,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
2122,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0011031,Monocyte-derived,14.702,0.002204664285053404,2,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
2124,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030014,Descending Thin Limb Type 3,10.945,0.00164127673785264,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2126,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001109,Cortical Thick Ascending Limb,10.527,0.001578594812185906,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2128,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002201,Intercalated Type B,9.911,0.001486221448045456,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2130,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030011,Proximal Tubule Epithelial Segment 3,8.503,0.001275082330010141,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2132,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000850,Macula Densa,8.449,0.001266984664971855,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2134,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001131,Ascending Vasa Recta Endothelial,4.213,0.0006317678297462925,2,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
2136,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000653,Podocyte,3.718,0.0005575392335620022,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2138,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000412,Afferent / Efferent Arteriole Endothelial,2.046,0.0003068115308950663,2,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
2140,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0002573,Schwann / Neural,1.603,0.0002403806862291258,2,http://purl.obolibrary.org/obo/CL_0000125,glial cell
2142,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001005,Glomerular Capillary Endothelial,0.176,2.639238975441431e-05,2,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
2145,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000814,Natural Killer T,0.05499999999999999,8.24762179825447e-06,2,http://purl.obolibrary.org/obo/CL_0000084,T cell
2146,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000717,Outer Medullary Collecting Duct Intercalated Type A,0.05499999999999999,8.24762179825447e-06,2,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
2148,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0001058,Plasmacytoid Dendritic,0.044,6.598097438603577e-06,2,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
2151,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000875,Non-classical monocyte,0.033,4.948573078952683e-06,2,http://purl.obolibrary.org/obo/CL_0000576,monocyte
2152,Left kidney,http://purl.obolibrary.org/obo/UBERON_0008716,hilum of kidney,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000648,Renin-positive Juxtaglomerular Granular,0.033,4.948573078952683e-06,2,http://purl.obolibrary.org/obo/CL_0000192,smooth muscle cell
1124,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000718,Inner Medullary Collecting Duct,10744.826,0.2165381214835414,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1126,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030016,Distal Convoluted Tubule Type 1,6735.059999999999,0.1357301868340111,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1128,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001108,Medullary Thick Ascending Limb,3580.251,0.07215201306932012,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1130,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000768,Connecting Tubule,3389.71,0.06831208209178771,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1132,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001107,Ascending Thin Limb,3128.057,0.0630390465767842,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1134,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001109,Cortical Thick Ascending Limb,2689.925999999999,0.05420948863850717,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1136,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030009,Proximal Tubule Epithelial Segment 1,2560.659,0.05160439914242665,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1138,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030011,Proximal Tubule Epithelial Segment 3,2450.244999999999,0.04937925001991095,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1140,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030013,Descending Thin Limb Type 2,2276.723,0.04588229921623421,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1142,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030012,Descending Thin Limb Type 1,1482.225,0.02987095529661831,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1144,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000714,Cortical Collecting Duct Principal,1376.043,0.02773109274180677,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1146,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030022,Medullary Fibroblast,1246.17,0.0251137906606533,4,http://purl.obolibrary.org/obo/CL_0000057,fibroblast
1148,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000692,Fibroblast,1052.967,0.02122021298103479,4,http://purl.obolibrary.org/obo/CL_0000057,fibroblast
1150,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000850,Macula Densa,1052.011,0.02120094692273489,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1152,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030014,Descending Thin Limb Type 3,941.264,0.01896908692426328,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1154,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial,Peritubular Capilary Endothelial ,650.567,0.01311073404810679,4,Unknown Cell,Unknown Cell
1156,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030010,Proximal Tubule Epithelial Segment 2,642.9730000000001,0.01295769383186262,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1158,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000716,Outer Medullary Collecting Duct Principal,474.3779999999999,0.009560035778440654,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1160,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000715,Cortical Collecting Duct Intercalated Type A,404.5429999999999,0.008152666341857585,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1162,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001318,Vascular Smooth Muscle / Pericyte,295.078,0.00594664220817726,4,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
1164,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1001131,Ascending Vasa Recta Endothelial,294.814,0.005941321874086074,4,http://purl.obolibrary.org/obo/CL_0000000,unknown cell
1166,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_4030018,Connecting Tubule Principal,270.159,0.005444455067199046,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1168,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000236,B,268.924,0.005419566383098235,4,http://purl.obolibrary.org/obo/CL_0000236,B cell
1170,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial,Descending Vasa Recta Endothelial ,261.448,0.005268904194970577,4,Unknown Cell,Unknown Cell
1172,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000653,Podocyte,235.94,0.00475484706619044,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1174,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000717,Outer Medullary Collecting Duct Intercalated Type A,165.839,0.003342116989954888,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
1176,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_0000890,M2 Macrophage,147.41,0.002970721395384982,4,http://purl.obolibrary.org/obo/CL_0000235,macrophage
1178,Left kidney,http://purl.obolibrary.org/obo/UBERON_0002015,kidney capsule,Female,azimuth,sc_transcriptomics,http://purl.obolibrary.org/obo/CL_1000452,Parietal Epithelial,140.31,0.002827636652781133,4,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
