dataset_id,organ,is_rui_registered,assay_type,publication_status,group_name,published_timestamp,uuid
SNT493.TKJD.678,LL,True,RNAseq,Published,TMC - University of Pittsburgh,1739461194239,fcf72357d083cb8edcfce70f5ba055ef
SNT253.MKNV.455,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457503879,a0f2be2b1dfa1178fa926259bf5a455f
SNT498.XKRG.893,LL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457546445,13f4861319fe3877df8547985531b68a
SNT489.CCVQ.324,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457495091,93c809496bcc6479991ba891c7e631f7
SNT776.QQGW.623,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457512374,3c0a1c7216859aef385acdae61e5664b
SNT676.SXTP.348,LL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457578897,a7d7c4a55b1724fd5a2de0b59d44df42
SNT658.LQWB.482,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457529257,c4ae7c9526b825304dfa93bbc51acd33
SNT577.KHFG.572,LL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457570718,57a17d129a7587153d8f9ac160fac40f
SNT478.QGSL.332,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457537955,47ff2e5391a97f1df0ebeddaeed98b9b
SNT387.XHRC.584,LL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457562554,f36a92547e40168acf6eaea8d67a8156
SNT794.NKKN.985,LL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457554474,987ece04d279e404746ff5b20a38f897
SNT497.HRKZ.873,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457521053,b2ce30b5584da15b5a65e5d77efe6042
SNT985.MXCW.829,LL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457586988,34a0018b6fa3edb402c6d292c391eeea
SNT479.PCMQ.829,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457452673,9e38a62ecb941eb541b37aa1b6f20d1c
SNT872.FZFV.997,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457418355,c6f27f85266e2bd5fac6a031629b9c08
SNT236.VDFB.848,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457469972,a167f4e692c528529c45744a28b4ecf2
SNT473.ZJKW.727,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457461201,f3ab2dcc03a07316ddae2701167e8940
SNT826.HWLM.338,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457426895,4e37e43ae473eea649fd24f13ff18c4c
SNT945.WCZH.229,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457392569,af85e9d60e4123ef00d4fd285f771eab
SNT467.NJWW.933,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457444121,a7799ef1131293a5e115ecc4aa7295ce
SNT933.RZWH.988,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457486500,8012a6fb017546428335e492ce187c21
SNT644.VGFZ.956,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457477911,b752af085628867b11be2c60ca89530a
SNT449.GRWG.598,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457435484,111a7b6cbaee55195fa6e76ddaa213fd
SNT367.FWNH.537,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457409721,5f1eec1f99347b0e1be1cb241b8a4b4c
SNT289.MKGJ.729,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457401206,e6809748838cc5b46a27c72e0738ae3c
SNT328.LPZQ.663,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457383926,653f3b77bd46d698b42a382bb1a46634
SNT773.DRXG.427,RL,True,RNAseq,Published,TMC - University of Pittsburgh,1739457355528,ae48ddf510c54304d1bf69cd5f64df11
SNT835.GVZP.228,LL,True,RNAseq,Published,TMC - University of Pittsburgh,1739454755098,ef795b89fed48a6c9bc008e6e9436b6d
SNT983.FMRG.925,LL,True,RNAseq,Published,TMC - University of Pittsburgh,1739454803278,e89369c6e0cbc8bfef9148f52fa5f9c7
