"tool","modality","sex","organ","organId","as","as_id","cell_id","cell_label","annotation_label_id","annotation_label","cell_count","percentage","asct_relation_in_asctb_table","indirect_asct_relation_in_asctb_table"
"Azimuth","sc_transcriptomics","Male","Heart","UBERON:0000948","Left Cardiac Atrium","UBERON:0002079","CL:0002350","Endocardial","AZ:0000006","Endocardial",775.368,0.0172912529142561,"true","true"
"Azimuth","sc_transcriptomics","Female","Heart","UBERON:0000948","Posteromedial Head of Posterior Papillary Muscle Of Left Ventricle","FMA:7267","CL:0000077","Mesothelial","AZ:0000013","Mesothelial",2.04,0.000588884799411115,"false","true"
"Azimuth","sc_transcriptomics","Male","Heart","UBERON:0000948","Right Cardiac Atrium","UBERON:0002078","CL:0002573","Neuronal","AZ:0000015","Neuronal",403.735,0.0137409303937393,"true","true"
"Azimuth","sc_transcriptomics","Female","Heart","UBERON:0000948","Right Cardiac Atrium","UBERON:0002078","CL:0002350","Endocardial","AZ:0000006","Endocardial",965.855,0.0681893194270249,"true","true"
"Azimuth","sc_transcriptomics","Female","Heart","UBERON:0000948","Right Ventricle","UBERON:0002080","CL:0002350","Endocardial","AZ:0000006","Endocardial",201.815,0.00422441046328375,"true","true"
"Azimuth","sc_transcriptomics","Male","Heart","UBERON:0000948","Interventricular Septum","UBERON:0002094","CL:0000236","B","AZ:0000004","B",38.979,0.00172703169468026,"true","true"
"Azimuth","sc_transcriptomics","Female","Heart","UBERON:0000948","Posteromedial Head of Posterior Papillary Muscle Of Left Ventricle","FMA:7267","CL:0000192","Smooth Muscle","AZ:0000018","Smooth Muscle",87.635,0.0252975095080358,"false","true"
"Azimuth","sc_transcriptomics","Male","Heart","UBERON:0000948","Right Ventricle","UBERON:0002080","CL:0002350","Endocardial","AZ:0000006","Endocardial",284.242,0.00487165079792088,"true","true"
"Azimuth","sc_transcriptomics","Male","Heart","UBERON:0000948","Right Ventricle","UBERON:0002080","CL:0000236","B","AZ:0000004","B",672.936,0.01153351440445,"true","true"
"Azimuth","sc_transcriptomics","Male","Heart","UBERON:0000948","Left Ventricle","UBERON:0002084","CL:0000236","B","AZ:0000004","B",55548.909,0.0842868628118803,"true","true"
"Azimuth","sc_transcriptomics","Female","Heart","UBERON:0000948","Right Ventricle","UBERON:0002080","CL:0002573","Neuronal","AZ:0000015","Neuronal",257.531,0.00539066298847918,"false","true"
"Azimuth","sc_transcriptomics","Male","Heart","UBERON:0000948","Right Cardiac Atrium","UBERON:0002078","CL:0002138","Lymphatic Endothelial","AZ:0000010","Lymphatic Endothelial",236.628,0.00805352242735891,"true","true"
"Azimuth","sc_transcriptomics","Female","Heart","UBERON:0000948","Left Cardiac Atrium","UBERON:0002079","CL:0002144","Capillary Endothelial","AZ:0000005","Capillary Endothelial",2259.13,0.124876940552821,"true","true"
"Azimuth","sc_transcriptomics","Male","Heart","UBERON:0000948","Left Cardiac Atrium","UBERON:0002079","CL:0002138","Lymphatic Endothelial","AZ:0000010","Lymphatic Endothelial",92.928,0.00207235989983594,"true","true"
