"tool","sex","organ","as","cell_label2","asct_relation_in_asctb_table","indirect_asct_relation_in_asctb_table","count","median_percentage"
"Azimuth","Female","Kidney","Hilum of Kidney","ASCTB-TEMP:descending-vasa-recta-endothelial: Descending Vasa Recta Endothelial ","false","false",2,0.00270251333740379
"Azimuth","Female","Kidney","Hilum of Kidney","ASCTB-TEMP:peritubular-capilary-endothelial: Peritubular Capilary Endothelial ","false","false",2,0.00179166624961214
"Azimuth","Female","Kidney","Hilum of Kidney","CL:0000648: Renin-Positive Juxtaglomerular Granular","false","true",2,0.0000300279259711532
"Azimuth","Female","Kidney","Hilum of Kidney","CL:0000650: Mesangial","false","false",2,0.01510404676349
"Azimuth","Female","Kidney","Hilum of Kidney","CL:0000653: Podocyte","false","true",2,0.00338314632608326
"Azimuth","Female","Kidney","Hilum of Kidney","CL:0000814: Natural Killer T","false","true",2,0.0000500465432852553
"Azimuth","Female","Kidney","Hilum of Kidney","CL:0000875: Non-Classical Monocyte","false","true",2,0.0000300279259711532
"Azimuth","Female","Kidney","Hilum of Kidney","CL:0000890: M2 Macrophage","false","false",2,0.00153142422452881
"Azimuth","Female","Kidney","Hilum of Kidney","CL:0000990: Classical Dendritic","false","true",2,0.0100993924349645
"Azimuth","Female","Kidney","Hilum of Kidney","CL:0001058: Plasmacytoid Dendritic","false","true",2,0.0000400372346282042
"Azimuth","Female","Kidney","Hilum of Kidney","CL:0002201: Intercalated Type B","false","true",2,0.009018387100003
"Azimuth","Female","Kidney","Hilum of Kidney","CL:0002573: Schwann / Neural","false","true",2,0.0000100093086570511
"Azimuth","Female","Kidney","Hilum of Kidney","CL:0011031: Monocyte-Derived","false","true",2,0.000340316494339736
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1000412: Afferent / Efferent Arteriole Endothelial","false","true",2,0.0018617314102115
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1000452: Parietal Epithelial","false","true",2,0.0183971093116598
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1000597: Papillary Tip Epithelial","false","true",2,0.0000100093086570511
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1000692: Fibroblast","false","true",2,0.0148838419730349
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1000714: Cortical Collecting Duct Principal","false","true",2,0.0127618685377401
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1000715: Cortical Collecting Duct Intercalated Type A","false","true",2,0.0167355640745894
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1000716: Outer Medullary Collecting Duct Principal","false","true",2,0.00930865705105748
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1000717: Outer Medullary Collecting Duct Intercalated Type A","false","true",2,0.0000500465432852553
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1000718: Inner Medullary Collecting Duct","false","true",2,0.12846947661325
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1000768: Connecting Tubule","false","true",2,0.0869008177605173
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1000850: Macula Densa","false","true",2,0.00551512907003513
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1001005: Glomerular Capillary Endothelial","false","true",2,0.000160148938512817
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1001107: Ascending Thin Limb","false","true",2,0.100413384447536
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1001108: Medullary Thick Ascending Limb","false","true",2,0.0585344370264346
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1001109: Cortical Thick Ascending Limb","false","true",2,0.00957890838479786
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1001131: Ascending Vasa Recta Endothelial","false","true",2,0.00383356521565055
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1001318: Cortical Vascular Smooth Muscle / Pericyte","false","true",2,0.00743691633218894
"Azimuth","Female","Kidney","Hilum of Kidney","CL:1001318: Vascular Smooth Muscle / Pericyte","false","true",2,0.00743691633218894
"Azimuth","Female","Kidney","Hilum of Kidney","CL:4030009: Proximal Tubule Epithelial Segment 1","false","true",2,0.219364008527931
"Azimuth","Female","Kidney","Hilum of Kidney","CL:4030011: Proximal Tubule Epithelial Segment 3","false","true",2,0.00773719559190047
"Azimuth","Female","Kidney","Hilum of Kidney","CL:4030012: Descending Thin Limb Type 1","false","true",2,0.0927562633248921
"Azimuth","Female","Kidney","Hilum of Kidney","CL:4030013: Descending Thin Limb Type 2","false","true",2,0.0608165594002422
"Azimuth","Female","Kidney","Hilum of Kidney","CL:4030014: Descending Thin Limb Type 3","false","true",2,0.0099592621137658
"Azimuth","Female","Kidney","Hilum of Kidney","CL:4030016: Distal Convoluted Tubule Type 1","false","true",2,0.0477844395287617
"Azimuth","Female","Kidney","Hilum of Kidney","CL:4030018: Connecting Tubule Principal","false","true",2,0.00572532455183321
"Azimuth","Female","Kidney","Hilum of Kidney","CL:4030022: Medullary Fibroblast","false","true",2,0.00871810784029147
"Azimuth","Female","Kidney","Kidney Capsule","ASCTB-TEMP:descending-vasa-recta-endothelial: Descending Vasa Recta Endothelial ","false","false",2,0.00526890419497058
"Azimuth","Female","Kidney","Kidney Capsule","ASCTB-TEMP:peritubular-capilary-endothelial: Peritubular Capilary Endothelial ","false","false",2,0.0131107340481068
"Azimuth","Female","Kidney","Kidney Capsule","CL:0000648: Renin-Positive Juxtaglomerular Granular","false","true",2,0.00015243563282472
"Azimuth","Female","Kidney","Kidney Capsule","CL:0000650: Mesangial","false","false",2,0.00143858609380749
"Azimuth","Female","Kidney","Kidney Capsule","CL:0000653: Podocyte","false","true",2,0.00475484706619044
"Azimuth","Female","Kidney","Kidney Capsule","CL:0000814: Natural Killer T","false","true",2,0.0000295036708693007
"Azimuth","Female","Kidney","Kidney Capsule","CL:0000875: Non-Classical Monocyte","false","true",2,0.0000142077103571428
"Azimuth","Female","Kidney","Kidney Capsule","CL:0000890: M2 Macrophage","false","false",2,0.00297072139538498
"Azimuth","Female","Kidney","Kidney Capsule","CL:0000990: Classical Dendritic","false","true",2,0.0000284960318368792
"Azimuth","Female","Kidney","Kidney Capsule","CL:0001058: Plasmacytoid Dendritic","false","true",2,0.0000850044287750753
"Azimuth","Female","Kidney","Kidney Capsule","CL:0002201: Intercalated Type B","false","true",2,0.00220890598131305
"Azimuth","Female","Kidney","Kidney Capsule","CL:0002573: Schwann / Neural","false","true",2,0.0010855496824083
"Azimuth","Female","Kidney","Kidney Capsule","CL:0011031: Monocyte-Derived","false","true",2,0.000123576850936169
"Azimuth","Female","Kidney","Kidney Capsule","CL:1000412: Afferent / Efferent Arteriole Endothelial","false","true",2,0.0000972573194093204
"Azimuth","Female","Kidney","Kidney Capsule","CL:1000452: Parietal Epithelial","false","true",2,0.00282763665278113
"Azimuth","Female","Kidney","Kidney Capsule","CL:1000692: Fibroblast","false","true",2,0.0212202129810348
"Azimuth","Female","Kidney","Kidney Capsule","CL:1000714: Cortical Collecting Duct Principal","false","true",2,0.0277310927418068
"Azimuth","Female","Kidney","Kidney Capsule","CL:1000715: Cortical Collecting Duct Intercalated Type A","false","true",2,0.00815266634185759
"Azimuth","Female","Kidney","Kidney Capsule","CL:1000716: Outer Medullary Collecting Duct Principal","false","true",2,0.00956003577844065
"Azimuth","Female","Kidney","Kidney Capsule","CL:1000717: Outer Medullary Collecting Duct Intercalated Type A","false","true",2,0.00334211698995489
"Azimuth","Female","Kidney","Kidney Capsule","CL:1000718: Inner Medullary Collecting Duct","false","true",2,0.216538121483541
"Azimuth","Female","Kidney","Kidney Capsule","CL:1000768: Connecting Tubule","false","true",2,0.0683120820917877
"Azimuth","Female","Kidney","Kidney Capsule","CL:1000850: Macula Densa","false","true",2,0.0212009469227349
"Azimuth","Female","Kidney","Kidney Capsule","CL:1001005: Glomerular Capillary Endothelial","false","true",2,0.00183692595610434
"Azimuth","Female","Kidney","Kidney Capsule","CL:1001107: Ascending Thin Limb","false","true",2,0.0630390465767842
"Azimuth","Female","Kidney","Kidney Capsule","CL:1001108: Medullary Thick Ascending Limb","false","true",2,0.0721520130693201
"Azimuth","Female","Kidney","Kidney Capsule","CL:1001109: Cortical Thick Ascending Limb","false","true",2,0.0542094886385072
"Azimuth","Female","Kidney","Kidney Capsule","CL:1001131: Ascending Vasa Recta Endothelial","false","true",2,0.00594132187408607
"Azimuth","Female","Kidney","Kidney Capsule","CL:1001318: Cortical Vascular Smooth Muscle / Pericyte","false","true",2,0.00594664220817726
"Azimuth","Female","Kidney","Kidney Capsule","CL:1001318: Vascular Smooth Muscle / Pericyte","false","true",2,0.00594664220817726
"Azimuth","Female","Kidney","Kidney Capsule","CL:4030009: Proximal Tubule Epithelial Segment 1","false","true",2,0.0516043991424266
"Azimuth","Female","Kidney","Kidney Capsule","CL:4030010: Proximal Tubule Epithelial Segment 2","false","true",2,0.0129576938318626
"Azimuth","Female","Kidney","Kidney Capsule","CL:4030011: Proximal Tubule Epithelial Segment 3","false","true",2,0.0493792500199109
"Azimuth","Female","Kidney","Kidney Capsule","CL:4030012: Descending Thin Limb Type 1","false","true",2,0.0298709552966183
"Azimuth","Female","Kidney","Kidney Capsule","CL:4030013: Descending Thin Limb Type 2","false","true",2,0.0458822992162342
"Azimuth","Female","Kidney","Kidney Capsule","CL:4030014: Descending Thin Limb Type 3","false","true",2,0.0189690869242633
"Azimuth","Female","Kidney","Kidney Capsule","CL:4030016: Distal Convoluted Tubule Type 1","false","true",2,0.135730186834011
"Azimuth","Female","Kidney","Kidney Capsule","CL:4030017: Distal Convoluted Tubule Type 2","false","true",2,0.000421958921216816
"Azimuth","Female","Kidney","Kidney Capsule","CL:4030018: Connecting Tubule Principal","false","true",2,0.00544445506719905
"Azimuth","Female","Kidney","Kidney Capsule","CL:4030020: Connecting Tubule Intercalated Type A","false","true",2,0.0000907882768211746
"Azimuth","Female","Kidney","Kidney Capsule","CL:4030022: Medullary Fibroblast","false","true",2,0.0251137906606533
"Azimuth","Female","Kidney","Kidney Pyramid","ASCTB-TEMP:descending-vasa-recta-endothelial: Descending Vasa Recta Endothelial ","false","false",2,0.0151337261070282
"Azimuth","Female","Kidney","Kidney Pyramid","ASCTB-TEMP:peritubular-capilary-endothelial: Peritubular Capilary Endothelial ","false","false",2,0.00672495272630298
"Azimuth","Female","Kidney","Kidney Pyramid","CL:0000113: Cycling Mononuclear Phagocyte","false","false",2,0.00000356224214842813
"Azimuth","Female","Kidney","Kidney Pyramid","CL:0000648: Renin-Positive Juxtaglomerular Granular","false","false",2,0.000279703201558666
"Azimuth","Female","Kidney","Kidney Pyramid","CL:0000650: Mesangial","false","false",2,0.00530021366845588
"Azimuth","Female","Kidney","Kidney Pyramid","CL:0000653: Podocyte","false","false",2,0.00152571828930039
"Azimuth","Female","Kidney","Kidney Pyramid","CL:0000814: Natural Killer T","false","false",2,0.000033363823540215
"Azimuth","Female","Kidney","Kidney Pyramid","CL:0000875: Non-Classical Monocyte","false","false",2,0.0000406517087701444
"Azimuth","Female","Kidney","Kidney Pyramid","CL:0000890: M2 Macrophage","false","false",2,0.00209264826185953
"Azimuth","Female","Kidney","Kidney Pyramid","CL:0000990: Classical Dendritic","false","false",2,0.00183330349306512
"Azimuth","Female","Kidney","Kidney Pyramid","CL:0001058: Plasmacytoid Dendritic","false","false",2,0.00000985648681337723
"Azimuth","Female","Kidney","Kidney Pyramid","CL:0002201: Intercalated Type B","false","false",2,0.00697606178264821
"Azimuth","Female","Kidney","Kidney Pyramid","CL:0002573: Schwann / Neural","false","false",2,0.000439323006498207
"Azimuth","Female","Kidney","Kidney Pyramid","CL:0011031: Monocyte-Derived","false","false",2,0.00196822888658646
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1000412: Afferent / Efferent Arteriole Endothelial","false","false",2,0.00187608704952283
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1000452: Parietal Epithelial","false","false",2,0.0189425311007944
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1000597: Papillary Tip Epithelial","false","false",2,0.000942866142954358
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1000692: Fibroblast","false","false",2,0.0182794658945363
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1000714: Cortical Collecting Duct Principal","false","false",2,0.0503393713683895
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1000715: Cortical Collecting Duct Intercalated Type A","false","false",2,0.0146878696083929
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1000716: Outer Medullary Collecting Duct Principal","false","false",2,0.0109440752793169
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1000717: Outer Medullary Collecting Duct Intercalated Type A","false","false",2,0.00883399249422446
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1000718: Inner Medullary Collecting Duct","false","false",2,0.154486101912258
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1000768: Connecting Tubule","false","false",2,0.0779413797126633
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1000850: Macula Densa","false","false",2,0.0151410027934402
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1001005: Glomerular Capillary Endothelial","false","false",2,0.0019967848540118
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1001107: Ascending Thin Limb","false","false",2,0.0460447336595486
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1001108: Medullary Thick Ascending Limb","false","false",2,0.0790353469234389
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1001109: Cortical Thick Ascending Limb","false","false",2,0.130076554823533
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1001131: Ascending Vasa Recta Endothelial","false","false",2,0.00791892690752822
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1001131: Ascending Vasa Recta Endothelial","false","true",2,0.00791892690752822
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1001318: Cortical Vascular Smooth Muscle / Pericyte","false","false",2,0.009030571452269
"Azimuth","Female","Kidney","Kidney Pyramid","CL:1001318: Vascular Smooth Muscle / Pericyte","false","false",2,0.009030571452269
"Azimuth","Female","Kidney","Kidney Pyramid","CL:4030009: Proximal Tubule Epithelial Segment 1","false","false",2,0.0169949533433477
"Azimuth","Female","Kidney","Kidney Pyramid","CL:4030010: Proximal Tubule Epithelial Segment 2","false","false",2,0.000209163375077039
"Azimuth","Female","Kidney","Kidney Pyramid","CL:4030011: Proximal Tubule Epithelial Segment 3","false","false",2,0.00497725961431314
"Azimuth","Female","Kidney","Kidney Pyramid","CL:4030012: Descending Thin Limb Type 1","false","false",2,0.0762404895146624
"Azimuth","Female","Kidney","Kidney Pyramid","CL:4030013: Descending Thin Limb Type 2","false","false",2,0.0496236259049234
"Azimuth","Female","Kidney","Kidney Pyramid","CL:4030014: Descending Thin Limb Type 3","false","false",2,0.0112793093462617
"Azimuth","Female","Kidney","Kidney Pyramid","CL:4030016: Distal Convoluted Tubule Type 1","false","false",2,0.100012936365335
"Azimuth","Female","Kidney","Kidney Pyramid","CL:4030017: Distal Convoluted Tubule Type 2","false","false",2,0.000078494041373216
"Azimuth","Female","Kidney","Kidney Pyramid","CL:4030018: Connecting Tubule Principal","false","false",2,0.0039106378805615
"Azimuth","Female","Kidney","Kidney Pyramid","CL:4030020: Connecting Tubule Intercalated Type A","false","false",2,0.000021850929760421
"Azimuth","Female","Kidney","Kidney Pyramid","CL:4030022: Medullary Fibroblast","false","false",2,0.0401009727972234
