"sex","tool","modality","organ","organId","as","as_id","cell_id","cell_label","cell_count","percentage","asct_relation_in_asctb_table","indirect_asct_relation_in_asctb_table","annotation_label","annotation_label_id","cell_label2"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000192","Smooth muscle",63,0.0017855118467294,"false","true","Smooth Muscle","AZ:0000123","smooth muscle cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0009089","Pericytes",271.133,0.024620253164557,"false","true","Pericytes","AZ:0000115","lung pericyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:4028004","Alveolar fibroblasts",41238,0.0725829446449001,"false","true","Alveolar Fibroblasts","AZ:0000072","alveolar type 1 fibroblast cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:4028006","Adventitial fibroblasts",245.847,0.0322151898734177,"false","true","Adventitial Fibroblasts","AZ:0000071","alveolar type 2 fibroblast cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:0000576","Classical monocytes",360,0.0227848101265823,"false","true","Classical Monocytes","AZ:0000084","monocyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Medial Bronchopulmonary Segment","FMA:7360","CL:4028003","EC aerocyte capillary",13429.14,0.00965173629756298,"false","true","Ec Aerocyte Capillary","AZ:0000090","alveolar capillary type 2 endothelial cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000492","CD4 T cells",30228,0.0532042594385286,"false","true","Cd4 T Cells","AZ:0000082","CD4-positive helper T cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000576","Classical monocytes",116,0.00328760911461286,"false","true","Classical Monocytes","AZ:0000084","monocyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000186","Myofibroblasts",82.68,0.0172638436482085,"false","true","Myofibroblasts","AZ:0000110","myofibroblast cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000158","Club (nasal)",0.697,0.0000632911392405063,"false","true","Club (nasal)",NA,NA
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0002144","EC general capillary",317.304,0.0662540716612378,"false","true","Ec General Capillary","AZ:0000092","capillary endothelial cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000492","CD4 T cells",712,0.0201791180138306,"false","true","Cd4 T Cells","AZ:0000082","CD4-positive helper T cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:1000413","EC arterial",11138,0.0196039778227581,"false","true","Ec Arterial","AZ:0000091","endothelial cell of artery"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000492","CD4 T cells",393.645,0.0515822784810127,"false","true","Cd4 T Cells","AZ:0000082","CD4-positive helper T cell"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:0000576","Classical monocytes",32.76,0.00684039087947883,"false","true","Classical Monocytes","AZ:0000084","monocyte"
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0000158","Club (non-nasal)",3,0.0000850243736537807,"false","true","Club (non-nasal)",NA,NA
"Male","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Left Apical Bronchopulmonary Segment","FMA:7385","CL:0002144","EC general capillary",2532,0.071760571363791,"false","true","Ec General Capillary","AZ:0000092","capillary endothelial cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Segmental Bronchus","FMA:7402","CL:4028003","EC aerocyte capillary",138.006,0.0125316455696202,"false","true","Ec Aerocyte Capillary","AZ:0000090","alveolar capillary type 2 endothelial cell"
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0000158","Club (nasal)",0.483,0.0000632911392405063,"false","true","Club (nasal)",NA,NA
"Female","Azimuth","sc_transcriptomics","Lung","UBERON:0001004","Lateral Bronchopulmonary Segment","FMA:7361","CL:0002399","DC2",152.628,0.02,"false","true","Dc2","AZ:0000088","CD1c-positive myeloid dendritic cell"
