"organ","as","as_label","sex","tool","modality","cell_id","cell_label","cell_count","cell_percentage"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030012","Descending Thin Limb Type 1","14719.18","0.1823765"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030012","Descending Thin Limb Type 1","14719.18","0.1823765"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000718","Inner Medullary Collecting Duct","9497.899","0.1176828"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000718","Inner Medullary Collecting Duct","9497.899","0.1176828"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030009","Proximal Tubule Epithelial Segment 1","7660.105","0.09491178"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030009","Proximal Tubule Epithelial Segment 1","7660.105","0.09491178"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030022","Medullary Fibroblast","5757.888","0.07134254"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030022","Medullary Fibroblast","5757.888","0.07134254"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000768","Connecting Tubule","5526.26","0.06847258"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000768","Connecting Tubule","5526.26","0.06847258"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001107","Ascending Thin Limb","4283.419","0.05307328"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001107","Ascending Thin Limb","4283.419","0.05307328"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000692","Fibroblast","3829.605","0.04745034"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1000692","Fibroblast","3829.605","0.04745034"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030016","Distal Convoluted Tubule Type 1","3595.743","0.0445527"
"Right Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_4030016","Distal Convoluted Tubule Type 1","3595.743","0.0445527"
"Left Kidney","http://purl.obolibrary.org/obo/UBERON_0001284","renal column","Female","azimuth","sc_transcriptomics","http://purl.obolibrary.org/obo/CL_1001108","Medullary Thick Ascending Limb","3231.72","0.04004231"
