organId,organ,sex,organ_as_count,rui_location_count,dataset_count
FMA:57987,Set of lactiferous glands in right breast,Female,8,1,3
UBERON:0000955,brain,Female,104,1,1
UBERON:0000955,brain,Male,104,1,1
UBERON:0000948,heart,Male,16,16,52
UBERON:0000059,large intestine,Female,10,6,6
UBERON:0000059,large intestine,Male,10,24,24
UBERON:0004538,left kidney,Female,30,2,8
UBERON:0004538,left kidney,Male,26,11,28
UBERON:0000079,male reproductive system,Male,18,1,4
UBERON:0004539,right kidney,Female,28,6,11
UBERON:0004539,right kidney,Male,28,6,50
UBERON:0002108,small intestine,Female,10,8,8
UBERON:0002108,small intestine,Male,11,24,24
