organ,organ_id,as_label,as_volume,rui_location_one_as_count,rui_location_count,rui_locations_with_ct,rui_locations_no_ct,ct_not_in_hra,ct_in_hra,ct_from_hra_only,experimental_ct_count,ct_labels_from_experimental_data,predicted_cells_per_ct
VHFHeart,UBERON:0000948,Posteromedial head of posterior papillary muscle of left ventricle,4401.499,0,1,1,0,4,21,0,25,"capillary endothelial cell; CD14-positive monocyte; CD4-positive, alpha-beta cytotoxic T cell; CD8-positive, alpha-beta cytotoxic T cell; endothelial cell of lymphatic vessel; epicardial adipocyte; mature NK T cell; neural cell; B cell; dendritic cell; endothelial cell; endothelial cell of artery; fibroblast; macrophage; mast cell; monocyte; native cell; natural killer cell; pericyte; smooth muscle cell; vein endothelial cell; activated CD4-positive, alpha-beta T cell; activated CD8-positive, alpha-beta T cell; regular ventricular cardiac myocyte; CD14-positive, CD16-positive monocyte",308.75
VHFHeart,UBERON:0000948,aortic valve,3612.979,0,1,1,0,4,22,2,26,"capillary endothelial cell; CD14-positive monocyte; CD4-positive, alpha-beta cytotoxic T cell; CD8-positive, alpha-beta cytotoxic T cell; endothelial cell of lymphatic vessel; epicardial adipocyte; mature NK T cell; neural cell; B cell; dendritic cell; endothelial cell; endothelial cell of artery; fibroblast; macrophage; mast cell; monocyte; native cell; natural killer cell; pericyte; smooth muscle cell; vein endothelial cell; mesothelial cell; activated CD4-positive, alpha-beta T cell; regular atrial cardiac myocyte; activated CD8-positive, alpha-beta T cell; CD14-positive, CD16-positive monocyte",162.02453987730061349693
VHFHeart,UBERON:0000948,heart left ventricle,229312.80000000002,5,7,3,4,4,22,22,26,"CD8-positive, alpha-beta cytotoxic T cell; endothelial cell of lymphatic vessel; epicardial adipocyte; capillary endothelial cell; CD14-positive monocyte; CD4-positive, alpha-beta cytotoxic T cell; macrophage; mast cell; monocyte; native cell; mature NK T cell; neural cell; B cell; endothelial cell of artery; fibroblast; activated CD8-positive, alpha-beta T cell; smooth muscle cell; vein endothelial cell; regular ventricular cardiac myocyte; CD14-positive, CD16-positive monocyte; activated CD4-positive, alpha-beta T cell; dendritic cell; endothelial cell; natural killer cell; pericyte; mesothelial cell",302.40316365848712228757
VHFHeart,UBERON:0000948,heart right ventricle,78714.76,1,3,2,1,4,22,22,26,"mesothelial cell; activated CD4-positive, alpha-beta T cell; activated CD8-positive, alpha-beta T cell; regular ventricular cardiac myocyte; CD14-positive, CD16-positive monocyte; smooth muscle cell; vein endothelial cell; neural cell; B cell; dendritic cell; capillary endothelial cell; CD14-positive monocyte; endothelial cell; endothelial cell of artery; macrophage; fibroblast; mast cell; monocyte; native cell; natural killer cell; pericyte; CD4-positive, alpha-beta cytotoxic T cell; CD8-positive, alpha-beta cytotoxic T cell; endothelial cell of lymphatic vessel; epicardial adipocyte; mature NK T cell",282.51345620616538900669
VHFHeart,UBERON:0000948,interventricular septum,65894.53,0,2,1,1,4,21,19,25,"CD4-positive, alpha-beta cytotoxic T cell; CD8-positive, alpha-beta cytotoxic T cell; endothelial cell of lymphatic vessel; epicardial adipocyte; mature NK T cell; neural cell; B cell; dendritic cell; endothelial cell; endothelial cell of artery; macrophage; mast cell; monocyte; native cell; natural killer cell; pericyte; smooth muscle cell; fibroblast; vein endothelial cell; activated CD4-positive, alpha-beta T cell; activated CD8-positive, alpha-beta T cell; regular ventricular cardiac myocyte; CD14-positive, CD16-positive monocyte; capillary endothelial cell; CD14-positive monocyte",306.19488428745432399513
VHFHeart,UBERON:0000948,left cardiac atrium,18115.97,0,1,1,0,4,22,22,26,"mature NK T cell; neural cell; B cell; dendritic cell; endothelial cell; endothelial cell of artery; fibroblast; macrophage; mast cell; monocyte; native cell; natural killer cell; pericyte; smooth muscle cell; vein endothelial cell; mesothelial cell; activated CD4-positive, alpha-beta T cell; regular atrial cardiac myocyte; activated CD8-positive, alpha-beta T cell; CD14-positive, CD16-positive monocyte; capillary endothelial cell; CD14-positive monocyte; CD4-positive, alpha-beta cytotoxic T cell; CD8-positive, alpha-beta cytotoxic T cell; endothelial cell of lymphatic vessel; epicardial adipocyte",161.91530208921513269339
VHFHeart,UBERON:0000948,right cardiac atrium,33225.9,2,2,2,0,8,25,26,33,"capillary endothelial cell; CD14-positive monocyte; CD4-positive, alpha-beta cytotoxic T cell; CD8-positive, alpha-beta cytotoxic T cell; endothelial cell of lymphatic vessel; epicardial adipocyte; endothelial cell; endothelial cell of artery; fibroblast; macrophage; mast cell; monocyte; native cell; natural killer cell; pericyte; smooth muscle cell; vein endothelial cell; Endothelial cell; Fibroblast; mature NK T cell; neural cell; B cell; dendritic cell; Muscle; Immune (myeloid); Glia; Immune (lymphocyte); Adipocyte; activated CD8-positive, alpha-beta T cell; CD14-positive, CD16-positive monocyte; mesothelial cell; activated CD4-positive, alpha-beta T cell; regular atrial cardiac myocyte",260.46539440203562340967
VHFLargeIntestine,UBERON:0000059,ascending colon,46838.66,0,2,2,0,20,5,37,25,Neutrophil; CD4+ T cell; CD8+ T; Lymphatic; Nerve; Enterocyte; Neuroendocrine; Cycling TA; Stroma; DC; M2 Macrophage; MUC1+ Enterocyte; Goblet; CD57+ Enterocyte; Smooth muscle; ICC; NK; CD66+ Enterocyte; M1 Macrophage; Paneth; B; TA; CD7+ Immune; Plasma; Endothelial,753.88
VHFLargeIntestine,UBERON:0000059,caecum,31765.15,0,2,2,0,20,5,36,25,MUC1+ Enterocyte; Neutrophil; CD4+ T cell; CD8+ T; Lymphatic; Nerve; ICC; CD57+ Enterocyte; M2 Macrophage; Goblet; TA; Plasma; Paneth; B; Enterocyte; Cycling TA; NK; CD7+ Immune; CD66+ Enterocyte; Neuroendocrine; M1 Macrophage; DC; Endothelial; Smooth muscle; Stroma,753.88
VHFLargeIntestine,UBERON:0000059,descending colon,140721.9,2,2,2,0,20,5,37,25,CD7+ Immune; DC; Neuroendocrine; Enterocyte; Neutrophil; CD4+ T cell; CD8+ T; Lymphatic; Nerve; M2 Macrophage; Endothelial; B; ICC; MUC1+ Enterocyte; Smooth muscle; Cycling TA; Stroma; Plasma; CD66+ Enterocyte; CD57+ Enterocyte; M1 Macrophage; Paneth; NK; Goblet; TA,1435.96
