,extraction_site_id,organ,total_intersection_percentage,number_of_AS_collisions,non_intersection_volume
0,http://purl.org/ccf/1.5/e240c0a4-5e53-4464-8320-ad775f2c4bf7,http://purl.org/ccf/latest/ccf.owl#VHFSmallIntestine,0.103,1,0.897
1,http://purl.org/ccf/1.5/f9e28182-3ed3-4a3f-bd45-66ebce1efafb,http://purl.org/ccf/latest/ccf.owl#VHFColon,0.883,1,0.11699999999999999
2,http://purl.org/ccf/1.5/65f3b03b-1eb1-487d-8c02-c4d107cc9400,http://purl.org/ccf/latest/ccf.owl#VHFSmallIntestine,0.057999999999999996,2,0.942
3,http://purl.org/ccf/1.5/4ecffbfc-dc50-4140-95e8-4f97d5804f4f,http://purl.org/ccf/latest/ccf.owl#VHFSmallIntestine,0.143,2,0.857
4,http://purl.org/ccf/1.5/93286ce3-669a-4f3f-a85a-7eaaedc15c59,http://purl.org/ccf/latest/ccf.owl#VHFColon,0.052,1,0.948
5,http://purl.org/ccf/1.5/7f4ad752-8a2d-4088-b91e-4e0d1a724d98,http://purl.org/ccf/latest/ccf.owl#VHFSmallIntestine,0.273,2,0.727
6,http://purl.org/ccf/1.5/85ad9566-c363-4b61-a522-6576b253d9af,http://purl.org/ccf/latest/ccf.owl#VHFRightKidneyV1.1,1.0,1,0.0
7,http://purl.org/ccf/1.5/2a9e525a-4ad9-4085-bca9-31a2d0512008,http://purl.org/ccf/latest/ccf.owl#VHFRightKidneyV1.1,0.981,1,0.019000000000000017
8,http://purl.org/ccf/1.5/21f2dbfa-f964-4526-bb4b-6b13302b4963,http://purl.org/ccf/latest/ccf.owl#VHFRightKidneyV1.1,0.0,0,1.0
9,http://purl.org/ccf/1.5/fa9ecb7f-16d5-4733-bc89-46496a9e886e,http://purl.org/ccf/latest/ccf.owl#VHFSpleen,1.002,2,-0.0020000000000000018
10,http://purl.org/ccf/1.5/b49d14ff-5d72-431d-8c03-24e662795ddb,http://purl.org/ccf/latest/ccf.owl#VHMSpleen,1.0,1,0.0
11,http://purl.org/ccf/1.5/e21afc3c-3a7c-4717-90d5-e5739fd8432c,http://purl.org/ccf/latest/ccf.owl#VHMSpleen,1.0,1,0.0
12,http://purl.org/ccf/1.5/373c77e0-1d77-4c28-b547-0eb9420f30bc,http://purl.org/ccf/latest/ccf.owl#VHMSpleen,1.006,2,-0.006000000000000005
13,http://purl.org/ccf/1.5/ce5f3bd0-f091-49fe-8fe5-67004848078b,http://purl.org/ccf/latest/ccf.owl#VHMHeart,0.275,1,0.725
14,http://purl.org/ccf/1.5/1995aefd-5289-4652-a7e0-cc66c495649f,http://purl.org/ccf/latest/ccf.owl#VHFHeart,0.895,3,0.10499999999999998
15,http://purl.org/ccf/1.5/39e72b20-77e5-45a5-bb0e-f374ea5894ad,http://purl.org/ccf/latest/ccf.owl#VHMHeart,0.813,1,0.18700000000000006
16,http://purl.org/ccf/1.5/118235b7-38a4-4fcf-8834-bad5765f5eeb,http://purl.org/ccf/latest/ccf.owl#VHMHeart,0.886,1,0.11399999999999999
17,http://purl.org/ccf/1.5/3156203b-0238-447d-9aae-c4341f2da943,http://purl.org/ccf/latest/ccf.owl#VHMHeart,0.813,1,0.18700000000000006
18,http://purl.org/ccf/1.5/6bbdd96b-5fae-406c-a0a5-8e20e1bd0d8e,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.29,1,0.71
19,http://purl.org/ccf/1.5/3177d8d7-3b26-4aa3-9984-3c112d461446,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.368,2,0.632
20,http://purl.org/ccf/1.5/6f89860a-30df-4b79-8e6d-dd209c959374,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.469,1,0.531
21,http://purl.org/ccf/1.5/fd76b9bb-85b0-4dd0-8e60-7c6ec7c95d73,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.343,1,0.657
22,http://purl.org/ccf/1.5/82d414d4-59a7-4a61-9d86-278cb73a3ddd,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.29,1,0.71
23,http://purl.org/ccf/1.5/dfb35d10-65a1-48f9-94a0-baf36ce8a78b,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.23600000000000002,2,0.764
24,http://purl.org/ccf/1.5/5df04f61-5fcc-4035-92c3-631f772a6ce0,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.326,1,0.6739999999999999
25,http://purl.org/ccf/1.5/63b2f5a9-5914-4c45-9239-139948a93498,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.33,1,0.6699999999999999
26,http://purl.org/ccf/1.5/502f175c-9d55-4341-b6ff-0f04d76522d5,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.343,1,0.657
27,http://purl.org/ccf/1.5/b09f5826-e6fa-4bec-8054-2fb6e6f202ae,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.469,1,0.531
28,http://purl.org/ccf/1.5/df58ff32-e4db-41fe-9a25-47dbde90c694,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.23600000000000002,2,0.764
29,http://purl.org/ccf/1.5/37248725-6ed5-4589-ac5a-9951d1a783e7,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.326,1,0.6739999999999999
30,http://purl.org/ccf/1.5/bceacee1-bc17-49ba-ab6f-833a9ccde436,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.536,1,0.46399999999999997
31,http://purl.org/ccf/1.5/fb4cec06-b147-4277-a6cf-8aa21e294183,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.29,1,0.71
32,http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.33,1,0.6699999999999999
33,http://purl.org/ccf/1.5/a1fc9d45-5af9-4fc4-b2be-340ef0716e09,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.368,2,0.632
34,http://purl.org/ccf/1.5/7f0bfe51-5458-4ef8-8641-c3d9a5fbd538,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.536,1,0.46399999999999997
35,http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.29,1,0.71
36,http://purl.org/ccf/1.5/2b38ef86-7e4d-4e27-b9c6-d2015ec49692,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.33,1,0.6699999999999999
37,http://purl.org/ccf/1.5/6fe91946-48bb-485f-9ad0-5f0550d1f2b3,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.469,1,0.531
38,http://purl.org/ccf/1.5/75ff443d-c177-4dab-a866-89e9141b73a4,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.368,2,0.632
39,http://purl.org/ccf/1.5/8023d0ab-338a-43c4-9f9b-d637220f1b8e,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.343,1,0.657
40,http://purl.org/ccf/1.5/2ae3cef9-6621-46da-b056-da7bfbadc13b,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.23600000000000002,2,0.764
41,http://purl.org/ccf/1.5/3c695f26-b7ed-44ad-8e11-894932defa86,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.326,1,0.6739999999999999
42,http://purl.org/ccf/1.5/5cb72454-f0fb-41d5-9cad-5797e1b447ae,http://purl.org/ccf/latest/ccf.owl#VHMHeart,0.886,1,0.11399999999999999
43,http://purl.org/ccf/1.5/089074be-1a45-47a6-805c-0edd5aeb62d6,http://purl.org/ccf/latest/ccf.owl#VHMSpleen,1.0,1,0.0
44,http://purl.org/ccf/1.5/df0b33f7-371a-47a4-a636-a27db19bdbc9,http://purl.org/ccf/latest/ccf.owl#VHMRightKidney,1.0,1,0.0
45,http://purl.org/ccf/1.5/69ac0df4-f442-4d62-90dc-86fcbc38eb23,http://purl.org/ccf/latest/ccf.owl#VHMRightKidney,1.0,1,0.0
46,http://purl.org/ccf/1.5/1994d754-ccc2-4853-94f8-cbd2cbe83fcb,http://purl.org/ccf/latest/ccf.owl#VHMLeftUreter,0.0,0,1.0
47,http://purl.org/ccf/1.5/4e2e6f98-ec16-4627-a06a-d3cdc282ee1c,http://purl.org/ccf/latest/ccf.owl#VHFRightKidneyV1.1,0.539,1,0.46099999999999997
48,http://purl.org/ccf/1.5/72ea5aad-4be7-4478-afc0-7736bc0d90e3,http://purl.org/ccf/latest/ccf.owl#VHMLeftKidney,1.6070000000000002,2,-0.6070000000000002
49,http://purl.org/ccf/1.5/91009a1d-ddea-4489-af88-3e32ca47cde7,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.326,1,0.6739999999999999
50,http://purl.org/ccf/1.5/abab52f8-6fd4-4e3f-8f9c-bb9f5f62785f,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.23600000000000002,2,0.764
51,http://purl.org/ccf/1.5/5d35eae0-82df-40c7-952c-6fbab03034b2,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.33,1,0.6699999999999999
52,http://purl.org/ccf/1.5/82566926-7a8f-43a7-9f6a-ae0c463d7a1d,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.536,1,0.46399999999999997
53,http://purl.org/ccf/1.5/79a10f00-84e0-4b8e-8622-485973df3773,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.343,1,0.657
54,http://purl.org/ccf/1.5/27c90961-5430-4217-ad97-4feaa91cede7,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.469,1,0.531
55,http://purl.org/ccf/1.5/ba9d007b-c5c7-4231-80f9-42403a98a6df,http://purl.org/ccf/latest/ccf.owl#VHMColon,0.29,1,0.71
56,http://purl.org/ccf/1.5/42b97dcb-2033-40ea-82a2-319a1e30dca2,http://purl.org/ccf/latest/ccf.owl#VHMSmallIntestine,0.368,2,0.632
57,http://purl.org/ccf/1.5/cef949fe-5100-4175-b87b-0172df815a6a,http://purl.org/ccf/latest/ccf.owl#VHFUrinaryBladder,1.0,1,0.0
58,http://purl.org/ccf/1.5/6537f5fc-c6fa-43b0-93e1-85040fdb89be,http://purl.org/ccf/latest/ccf.owl#VHMLeftKidney,0.0,0,1.0
59,http://purl.org/ccf/1.5/29e439fb-cfec-4c2d-a14e-3bc60eb8e255,http://purl.org/ccf/latest/ccf.owl#VHMLeftKidney,1.284,2,-0.28400000000000003
