organ,as_label,cell_label,cell_id,mean_cell_count,cell_count
VHFColon,descending colon,B,https://purl.org/ccf/ASCTB-TEMP_b,4922,4922
VHFColon,descending colon,CD4+ T cell,https://purl.org/ccf/ASCTB-TEMP_cd4-t-cell,4224,4224
VHFColon,descending colon,CD57+ Enterocyte,https://purl.org/ccf/ASCTB-TEMP_cd57-enterocyte,4,4
VHFColon,descending colon,CD66+ Enterocyte,https://purl.org/ccf/ASCTB-TEMP_cd66-enterocyte,2189,2189
VHFColon,descending colon,CD7+ Immune,https://purl.org/ccf/ASCTB-TEMP_cd7-immune,48,48
VHFColon,descending colon,CD8+ T,https://purl.org/ccf/ASCTB-TEMP_cd8-t,2219,2219
VHFColon,descending colon,Cycling TA,https://purl.org/ccf/ASCTB-TEMP_cycling-ta,3785,3785
VHFColon,descending colon,DC,https://purl.org/ccf/ASCTB-TEMP_dc,1190,1190
VHFColon,descending colon,Endothelial,https://purl.org/ccf/ASCTB-TEMP_endothelial,3723,3723
VHFColon,descending colon,Enterocyte,https://purl.org/ccf/ASCTB-TEMP_enterocyte,9947,9947
VHFColon,descending colon,Goblet,https://purl.org/ccf/ASCTB-TEMP_goblet,5597,5597
VHFColon,descending colon,ICC,https://purl.org/ccf/ASCTB-TEMP_icc,700,700
VHFColon,descending colon,Lymphatic,https://purl.org/ccf/ASCTB-TEMP_lymphatic,920,920
VHFColon,descending colon,M1 Macrophage,https://purl.org/ccf/ASCTB-TEMP_m1-macrophage,318,318
VHFColon,descending colon,M2 Macrophage,https://purl.org/ccf/ASCTB-TEMP_m2-macrophage,1717,1717
VHFColon,descending colon,MUC1+ Enterocyte,https://purl.org/ccf/ASCTB-TEMP_muc1-enterocyte,136,136
VHFColon,descending colon,NK,https://purl.org/ccf/ASCTB-TEMP_nk,23,23
VHFColon,descending colon,Nerve,https://purl.org/ccf/ASCTB-TEMP_nerve,1049,1049
VHFColon,descending colon,Neuroendocrine,https://purl.org/ccf/ASCTB-TEMP_neuroendocrine,526,526
VHFColon,descending colon,Neutrophil,https://purl.org/ccf/ASCTB-TEMP_neutrophil,4,4
VHFColon,descending colon,Paneth,https://purl.org/ccf/ASCTB-TEMP_paneth,0,0
VHFColon,descending colon,Plasma,https://purl.org/ccf/ASCTB-TEMP_plasma,1686,1686
VHFColon,descending colon,Smooth muscle,https://purl.org/ccf/ASCTB-TEMP_smooth-muscle,2935,2935
VHFColon,descending colon,Stroma,https://purl.org/ccf/ASCTB-TEMP_stroma,943,943
VHFColon,descending colon,TA,https://purl.org/ccf/ASCTB-TEMP_ta,2489,2489
VHFColon,sigmoid colon,B,https://purl.org/ccf/ASCTB-TEMP_b,1,1
VHFColon,sigmoid colon,CD4+ T cell,https://purl.org/ccf/ASCTB-TEMP_cd4-t-cell,24,24
VHFColon,sigmoid colon,CD57+ Enterocyte,https://purl.org/ccf/ASCTB-TEMP_cd57-enterocyte,0,0
VHFColon,sigmoid colon,CD66+ Enterocyte,https://purl.org/ccf/ASCTB-TEMP_cd66-enterocyte,16,16
VHFColon,sigmoid colon,CD7+ Immune,https://purl.org/ccf/ASCTB-TEMP_cd7-immune,0,0
VHFColon,sigmoid colon,CD8+ T,https://purl.org/ccf/ASCTB-TEMP_cd8-t,16,16
VHFColon,sigmoid colon,Cycling TA,https://purl.org/ccf/ASCTB-TEMP_cycling-ta,13,13
VHFColon,sigmoid colon,DC,https://purl.org/ccf/ASCTB-TEMP_dc,91,91
VHFColon,sigmoid colon,Endothelial,https://purl.org/ccf/ASCTB-TEMP_endothelial,1591,1591
VHFColon,sigmoid colon,Enterocyte,https://purl.org/ccf/ASCTB-TEMP_enterocyte,153,153
VHFColon,sigmoid colon,Goblet,https://purl.org/ccf/ASCTB-TEMP_goblet,41,41
VHFColon,sigmoid colon,ICC,https://purl.org/ccf/ASCTB-TEMP_icc,169,169
VHFColon,sigmoid colon,Lymphatic,https://purl.org/ccf/ASCTB-TEMP_lymphatic,500,500
