sample,rui_location,in_atlas,modality,cell_id,cell_label,cell_count,percentage_of_total
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc_TissueBlock,http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,true,bulk,http://purl.obolibrary.org/obo/CL_0002131,regular ventricular cardiac myocyte,13632.2,0.345691
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc_TissueBlock,http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,true,bulk,http://purl.obolibrary.org/obo/CL_0000669,pericyte,5831.183,0.1478695
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc_TissueBlock,http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,true,bulk,http://purl.obolibrary.org/obo/CL_0002144,capillary endothelial cell,5499.154,0.1394498
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc_TissueBlock,http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,true,bulk,http://purl.obolibrary.org/obo/CL_0000057,fibroblast,3917.106,0.09933157
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc_TissueBlock,http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,true,bulk,http://purl.obolibrary.org/obo/CL_0000003,native cell,3046.663,0.07725852
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc_TissueBlock,http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,true,bulk,http://purl.obolibrary.org/obo/CL_1000413,endothelial cell of artery,1752.0,0.04442794
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc_TissueBlock,http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,true,bulk,http://purl.obolibrary.org/obo/CL_0000192,smooth muscle cell,1133.719,0.02874932
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc_TissueBlock,http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,true,bulk,http://purl.obolibrary.org/obo/CL_0000235,macrophage,961.3622,0.02437862
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc_TissueBlock,http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,true,bulk,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,635.7271,0.01612103
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc_TissueBlock,http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,true,bulk,http://purl.obolibrary.org/obo/CL_0000623,natural killer cell,499.6842,0.0126712
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc_TissueBlock,http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,true,bulk,http://purl.obolibrary.org/obo/CL_0002397,"CD14-positive, CD16-positive monocyte",436.3547,0.01106526
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc_TissueBlock,http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,true,bulk,http://purl.obolibrary.org/obo/CL_0002543,vein endothelial cell,394.0536,0.009992573
