organ,as_label,cell_label,cell_id,mean_cell_count,cell_count
VHFHeart,right cardiac atrium,Adipocyte,https://purl.org/ccf/ASCTB-TEMP_adipocyte,71,142
VHFHeart,right cardiac atrium,Endothelial cell,https://purl.org/ccf/ASCTB-TEMP_endothelial-cell,2731,5462
VHFHeart,right cardiac atrium,Fibroblast,https://purl.org/ccf/ASCTB-TEMP_fibroblast,3240.5,6481
VHFHeart,right cardiac atrium,Glia,https://purl.org/ccf/ASCTB-TEMP_glia,101.5,203
VHFHeart,right cardiac atrium,Immune (lymphocyte),https://purl.org/ccf/ASCTB-TEMP_immune-lymphocyte-,197,394
VHFHeart,right cardiac atrium,Immune (myeloid),https://purl.org/ccf/ASCTB-TEMP_immune-myeloid-,1470,2940
VHFHeart,right cardiac atrium,Muscle,https://purl.org/ccf/ASCTB-TEMP_muscle,4442.5,8885
VHFLeftKidney,outer cortex of kidney,Afferent / Efferent Arteriole Endothelial,https://purl.org/ccf/ASCTB-TEMP_afferent-efferent-arteriole-endothelial,5.75,23
VHFLeftKidney,outer cortex of kidney,Ascending Thin Limb,https://purl.org/ccf/ASCTB-TEMP_ascending-thin-limb,60.25,241
VHFLeftKidney,outer cortex of kidney,Ascending Vasa Recta Endothelial,https://purl.org/ccf/ASCTB-TEMP_ascending-vasa-recta-endothelial,7.75,31
VHFLeftKidney,outer cortex of kidney,B,https://purl.org/ccf/ASCTB-TEMP_b,1.5,3
VHFLeftKidney,outer cortex of kidney,Classical Dendritic,https://purl.org/ccf/ASCTB-TEMP_classical-dendritic,3,3
VHFLeftKidney,outer cortex of kidney,Connecting Tubule,https://purl.org/ccf/ASCTB-TEMP_connecting-tubule,521,2605
VHFLeftKidney,outer cortex of kidney,Connecting Tubule Intercalated Type A,https://purl.org/ccf/ASCTB-TEMP_connecting-tubule-intercalated-type-a,2,4
VHFLeftKidney,outer cortex of kidney,Connecting Tubule Principal,https://purl.org/ccf/ASCTB-TEMP_connecting-tubule-principal,2.8,14
VHFLeftKidney,outer cortex of kidney,Cortical Collecting Duct Intercalated Type A,https://purl.org/ccf/ASCTB-TEMP_cortical-collecting-duct-intercalated-type-a,51.4,257
VHFLeftKidney,outer cortex of kidney,Cortical Collecting Duct Principal,https://purl.org/ccf/ASCTB-TEMP_cortical-collecting-duct-principal,72.4,362
VHFLeftKidney,outer cortex of kidney,Cortical Thick Ascending Limb,https://purl.org/ccf/ASCTB-TEMP_cortical-thick-ascending-limb,240.2,1201
VHFLeftKidney,outer cortex of kidney,Cortical Vascular Smooth Muscle / Pericyte,https://purl.org/ccf/ASCTB-TEMP_cortical-vascular-smooth-muscle-pericyte,15.5,62
VHFLeftKidney,outer cortex of kidney,Descending Thin Limb Type 1,https://purl.org/ccf/ASCTB-TEMP_descending-thin-limb-type-1,301.8,1509
VHFLeftKidney,outer cortex of kidney,Descending Thin Limb Type 2,https://purl.org/ccf/ASCTB-TEMP_descending-thin-limb-type-2,95.2,476
VHFLeftKidney,outer cortex of kidney,Descending Thin Limb Type 3,https://purl.org/ccf/ASCTB-TEMP_descending-thin-limb-type-3,15.75,63
VHFLeftKidney,outer cortex of kidney,Descending Vasa Recta Endothelial,https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial,14,14
VHFLeftKidney,outer cortex of kidney,"Descending Vasa Recta Endothelial ",https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial,7.33333333333333333333,22
VHFLeftKidney,outer cortex of kidney,Distal Convoluted Tubule Type 1,https://purl.org/ccf/ASCTB-TEMP_distal-convoluted-tubule-type-1,305.6,1528
VHFLeftKidney,outer cortex of kidney,Distal Convoluted Tubule Type 2,https://purl.org/ccf/ASCTB-TEMP_distal-convoluted-tubule-type-2,22.5,45
VHFLeftKidney,outer cortex of kidney,Fibroblast,https://purl.org/ccf/ASCTB-TEMP_fibroblast,24.6,123
VHFLeftKidney,outer cortex of kidney,Glomerular Capillary Endothelial,https://purl.org/ccf/ASCTB-TEMP_glomerular-capillary-endothelial,31.4,157
VHFLeftKidney,outer cortex of kidney,Inner Medullary Collecting Duct,https://purl.org/ccf/ASCTB-TEMP_inner-medullary-collecting-duct,1677.5,6710
VHFLeftKidney,outer cortex of kidney,Intercalated Type B,https://purl.org/ccf/ASCTB-TEMP_intercalated-type-b,12,48
VHFLeftKidney,outer cortex of kidney,Lymphatic Endothelial,https://purl.org/ccf/ASCTB-TEMP_lymphatic-endothelial,6.5,13
VHFLeftKidney,outer cortex of kidney,M2 Macrophage,https://purl.org/ccf/ASCTB-TEMP_m2-macrophage,19.5,39
VHFLeftKidney,outer cortex of kidney,Macula Densa,https://purl.org/ccf/ASCTB-TEMP_macula-densa,44.2,221
VHFLeftKidney,outer cortex of kidney,Mast,https://purl.org/ccf/ASCTB-TEMP_mast,4,4
VHFLeftKidney,outer cortex of kidney,Medullary Fibroblast,https://purl.org/ccf/ASCTB-TEMP_medullary-fibroblast,19.5,78
VHFLeftKidney,outer cortex of kidney,Medullary Thick Ascending Limb,https://purl.org/ccf/ASCTB-TEMP_medullary-thick-ascending-limb,622.4,3112
VHFLeftKidney,outer cortex of kidney,Mesangial,https://purl.org/ccf/ASCTB-TEMP_mesangial,3,12
VHFLeftKidney,outer cortex of kidney,Monocyte,https://purl.org/ccf/ASCTB-TEMP_monocyte,7,7
VHFLeftKidney,outer cortex of kidney,Monocyte-derived,https://purl.org/ccf/ASCTB-TEMP_monocyte-derived,22,22
