,n_genes_by_counts,total_counts,pct_counts_mt,pct_counts_ribo,low_quality
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_A18,2940,2499.9758,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_G4,1989,2154.1445,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_A21,3949,2488.2583,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_H2,3775,2536.2812,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_C22,4330,2864.3384,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_C15,4953,3295.4583,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Stromal_N18,2720,2342.5474,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_C9,2006,1994.9458,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B18,5122,3286.9272,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_C6,4728,3042.2703,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B5,3560,2381.7202,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B16,4295,2784.7097,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Stromal_J3,3868,2843.4849,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B2,4244,2701.6978,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_C2,3565,2404.3674,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_C12,3612,2596.828,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E15,5485,3424.6953,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_C3,3198,2475.6611,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Stromal_P23,1283,1946.9817,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_D19,5183,3377.1045,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_C11,5096,3123.2124,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B4,3774,2695.4414,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Stromal_K6,4936,2999.726,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_D22,3081,2525.3376,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E23,4179,2897.8647,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B21,4577,2713.963,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_H19,2959,2592.7166,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_D16,4025,2316.9927,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_D17,5224,3177.983,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Stromal_J8,3079,2603.4604,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B11,5603,3381.1792,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_D15,3396,2508.0432,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B15,3645,2504.693,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B20,5202,2966.0483,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_D20,3161,2498.1343,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Stromal_L9,4103,2825.722,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_C5,4795,3082.6387,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_G3,4024,2845.2031,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B8,3365,2253.034,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_F11,3213,2529.4187,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_C10,2207,1966.9805,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Stromal_I18,4395,3036.6338,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_D12,3793,2900.852,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_D10,5127,3423.547,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E2,3157,2829.4314,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E18,3803,2581.1575,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E4,3534,2653.6807,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_H4,3254,2511.5647,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Stromal_I14,3274,2882.9426,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E9,4231,2925.6514,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_A10,2701,2105.2585,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B13,3060,2485.9727,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_C13,6099,3282.2139,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B17,2422,1742.2156,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E20,4533,2859.4595,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E7,5304,3268.319,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_A12,5513,2762.3599,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_A18,1496,2033.625,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E14,2841,2692.1995,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E6,1855,1730.3961,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B22,2157,2249.9453,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_D7,5079,2978.4038,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Stromal_M6,3516,2539.5256,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Stromal_N16,3828,2909.3508,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_H11,4573,2993.9785,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinPos_L15,5024,2994.4636,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_D22,6295,3363.654,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_F20,4979,3244.2385,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinPos_O18,4221,2755.0806,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_F6,4177,3022.3794,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_G6,4767,3321.7063,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_F3,3117,2430.3918,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinPos_J23,4388,2951.1753,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinPos_M3,3181,2712.9648,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B14,4215,2338.5542,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E5,3956,2390.6248,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E19,4866,3418.335,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_A6,3191,2210.0605,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_C17,4496,2945.7075,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B10,5818,3249.1187,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_A13,3211,2287.796,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_A7,2100,2261.266,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_D3,3376,2039.0364,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E11,5178,2880.4653,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_B6,4239,2178.6838,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_D8,5723,3508.1758,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_D1,3285,2316.5078,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E21,7478,3311.5862,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E12,4409,2743.7021,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_C22,4524,2924.2764,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_C20,2376,1870.9305,0.0,0.0,False
TSP10_Skin_chest_SS2_B134179_B133832_Epithelial_E16,4370,3032.9834,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_A13,1716,1900.8848,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_G7,2528,1900.98,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinPos_J22,2227,2107.438,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_F15,2571,1937.2413,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinPos_I5,647,1061.8317,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_C20,2688,2065.101,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinPos_K16,2949,2642.8042,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinPos_K2,1656,1849.7407,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_E17,2770,2059.3647,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinPos_M18,1350,1626.7056,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinPos_K6,1356,1630.9379,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_A17,2124,1899.0182,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinNeg_C17,2840,2259.1426,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinPos_O19,977,1498.7538,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinPos_L20,1823,1816.7214,0.0,0.0,False
TSP10_Skin_chest_SS2_B134176_B133829_ImmuneLinPos_I11,2045,2047.83,0.0,0.0,False
